ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections
A01224,A01224,A01224,The Arcadian rhetorike: or The præcepts of rhetorike made plaine by examples,"Fraunce, Abraham, fl. 1587-1633",1588,EEBO-TCP,"['Linguistic', 'Literary']"
A01225,A01225,A01225,The Countesse of Pembrokes Emanuel,"Fraunce, Abraham, fl. 1587-1633",1591,EEBO-TCP,"['Literary', 'Original Bibliography']"
A01227,A01227,A01227,The Countesse of Pembrokes Yuychurch,"Fraunce, Abraham, fl. 1587-1633",1591,EEBO-TCP,"['Literary', 'Original Bibliography']"
A01514-pnp,A01514,A01514-pnp,"Certayne notes of Instruction concerning the making of verse or ryme in English, vvritten at the request of Master Edouardo Donati","Gascoigne, George, 1542?-1577.",1575,EEBO-TCP,['Literary']
A03670,A03670,A03670,"Horace his arte of poetrie, pistles, and satyrs Englished",Horace,1567,EEBO-TCP,['Literary']
A04254-pnp,A04254,A04254-pnp,"ANE SCHORT TREATISE, CONTEINING SOME REVLIS and cautelis to be obseruit and eschewit in Scottis Poesie.","James I, King of England, 1566-1625.
",1584,EEBO-TCP,['Literary']
A04632,A04632,A04632,The workes of Beniamin Ionson,"Jonson, Ben, 1573?-1637",1616,EEBO-TCP,['Literary']
A07448-p607,A07448,A07448-p607,Poetrie.,"Meres, Francis, 1565-1647.",1634,EEBO-TCP,['Literary']
A07448-p611,A07448,A07448-p611,Poets.,"Meres, Francis, 1565-1647.",1634,EEBO-TCP,['Literary']
A07448-p616,A07448,A07448-p616,"A comparatiue discourse of our English Poets, with the Greeke, Latine, and Italian Poets.","Meres, Francis, 1565-1647.",1634,EEBO-TCP,['Literary']
A10664,A10664,A10664,Mythomystes,"Reynolds, Henry, fl. 1627-1632",1632,EEBO-TCP,['Literary']
A12123,A12123,A12123,A treatise of the figures of grammer and rhetorike,"Sherry, Richard, ca. 1506-ca. 1555",1555,EEBO-TCP,['Linguistic']
A12224,A12224,A12224,"An apologie for poetrie. VVritten by the right noble, vertuous, and learned, Sir Phillip Sidney, Knight","Sidney, Philip, Sir, 1554-1586",1595,EEBO-TCP,['Literary']
A12225,A12225,A12225,"The defence of poesie. By Sir Phillip Sidney, Knight","Sidney, Philip, Sir, 1554-1586",1595,EEBO-TCP,"['Literary', 'Original Bibliography']"
A12226,A12226,A12226,Syr P.S. His Astrophel and Stella,"Sidney, Philip, Sir, 1554-1586",1591,EEBO-TCP,['Literary']
A12229,A12229,A12229,"The Countesse of Pembrokes Arcadia, written by Sir Philippe Sidnei","Sidney, Philip, Sir, 1554-1586",1590,EEBO-TCP,"['Literary', 'Original Bibliography']"
A12231,A12231,A12231,The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended,"Sidney, Philip, Sir, 1554-1586",1593,EEBO-TCP,['Literary']
A12787,A12787,A12787,"Three proper, and wittie, familiar letters: lately passed betvveene tvvo vniuersitie men: touching the earthquake in Aprill last, and our English refourmed versifying","Spenser, Edmund, 1552?-1599",1580,EEBO-TCP,"['Literary', 'Original Bibliography']"
A14868,A14868,A14868,A discourse of English poetrie,"Webbe, William",1586,EEBO-TCP,"['Literary', 'Original Bibliography']"
A16208-p40,A16208,A16208-p40,The Induction to The Complaint of Sigebert,"Blenerhasset, Thomas",1578,EEBO-TCP,"['Literary', 'Original Bibliography']"
A17877,A17877,A17877,"Obseruations in the art of English poesie. By Thomas Campion. Wherein it is demonstratiuely prooued, and by example confirmed, that the English toong will receiue eight seuerall kinds of numbers, proper to it selfe, which are all in this booke set forth, and were neuer before this time by any man attempted","Campion, Thomas, 1567-1620",1602,EEBO-TCP,"['Literary', 'Original Bibliography']"
A19517,A19517,A19517,The art or crafte of rhetoryke,"Cox, Leonard, fl. 1572",1532,EEBO-TCP,['Linguistic']
A21323,A21323,A21323,A briefe of the art of rhetorique,Aristotle,1637,EEBO-TCP,['Linguistic']
A25820,A25820,A25820,"Aristotle's Rhetoric, or, The true grounds and principles of oratory",Aristotle,1686,EEBO-TCP,"['Linguistic', 'Literary']"
A26187,A26187,A26187,The whole art of the stage,"Aubignac, François-Hédelin, abbé d', 1604-1676",1684,EEBO-TCP,['Literary']
A28403,A28403,A28403,The comparison of Pindar and Horace,"Blondel, François, 1618-1686",1696,EEBO-TCP,['Literary']
A29229,A29229,A29229,"A comment upon the two tales of our ancient, renovvned, and ever-living poet Sr Jeffray Chaucer, Knight","Brathwaite, Richard, 1588?-1673",1665,EEBO-TCP,['Literary']
A30001,A30001,A30001,"An essay on poetry; written by the Marquis of Normanby, and the same render'd into Latin by another hand. With several other poems, viz. An epistle to the Lord Chamberlain, on His Majesty's victory in Ireland; by the honourable Mr. Montague. An epistle to the honourable Mr. Montague, on His Majesty's voyage to Holland; by Mr. Stepny. An epistle to Monsieur Boileau; by Mr. Arwaker. A poem on the promotion of several eminent persons in church and state; by Mr. Tate. To which are added the following poems, never before in print, viz. An ode in memory of the late Queen; by a person of quality. A poem on the late horrid conspiracy; by Mr. Stepny","Buckingham, John Sheffield, Duke of, 1648-1720 or 21",1697,EEBO-TCP,['Literary']
A30105,A30105,A30105,"Chirologia, or, The naturall language of the hand","J. B. (John Bulwer), fl. 1648-1654",1644,EEBO-TCP,['Linguistic']
A32749,A32749,A32749,"The works of our ancient, learned, & excellent English poet, Jeffrey Chaucer","Chaucer, Geoffrey, d. 1400",1687,EEBO-TCP,['Literary']
A33458,A33458,A33458,Notes upon Mr. Dryden's poems,"Clifford, M. (Martin), d. 1677",1687,EEBO-TCP,['Literary']
A34017,A34017,A34017,"Poesis rediviva, or, Poesie reviv'd","Collop, John",1656,EEBO-TCP,['Literary']
A34639,A34639,A34639,The confinement,"Cotton, Charles, 1630-1687",1679,EEBO-TCP,['Literary']
A35678,A35678,A35678,"Remarks on a book entituled Prince Arthur, an heroick poem","Dennis, John, 1657-1734",1696,EEBO-TCP,['Literary']
A36661,A36661,A36661,"Of dramatick poesie, an essay","Dryden, John, 1631-1700",1668,EEBO-TCP,['Literary']
A37178,A37178,A37178,A discourse upon Gondibert,"D'Avenant, William, Sir, 1606-1668",1650,EEBO-TCP,['Literary']
A41298,A41298,A41298,A Defence of dramatick poetry,,1698,EEBO-TCP,['Literary']
A42746-p220,A42746,A42746-p220,"To my Honoured and Ingenious Friend Mr. Harrington, for the Modern Poets against the Ancients","Gildon, Charles, 1665-1724.",1694,EEBO-TCP,['Literary']
A42746-p41,A42746,A42746-p41,To Mr. T. S. in Vindication of Mr. Mil∣ton's Paradise lost,"Gildon, Charles, 1665-1724",1694,EEBO-TCP,['Literary']
A42746-p7,A42746,A42746-p7,"An Apology for Poetry, in an Essay dire∣cted to Walter Moil Esq","Gildon, Charles, 1665-1724",1694,EEBO-TCP,['Literary']
A43971,A43971,A43971,"The art of rhetoric, with A discourse of the laws of England","Hobbes, Thomas, 1588-1679",1681,EEBO-TCP,['Linguistic']
A45116,A45116,A45116,Annotations on Milton's Paradise lost,"Hume, Patrick, fl. 1695",1695,EEBO-TCP,['Literary']
A46267,A46267,A46267,"Piety, and poesy. Contracted. By T. J.","Jordan, Thomas, 1612?-1685?",1643,EEBO-TCP,['Literary']
A48528,A48528,A48528,Prosodia construed and the meaning of the most difficult words therein contained plainly illustrated,"Hampton, Barnabas, 17th cent",1672,EEBO-TCP,['Original Bibliography']
A49533,A49533,A49533,"An account of the English dramatick poets, or, Some observations and remarks on the lives and writings of all those that have publish'd either comedies, tragedies, tragi-comedies, pastorals, masques, interludes, farces or opera's in the English tongue","Langbaine, Gerard, 1656-1692",1691,EEBO-TCP,['Literary']
A49536,A49536,A49536,The lives and characters of the English dramatick poets,"Langbaine, Gerard, 1656-1692",1699,EEBO-TCP,['Literary']
A49581,A49581,A49581,A compendium of the art of logick and rhetorick in the English tongue,"Ramus, Petrus, 1515-1572",1651,EEBO-TCP,['Linguistic']
A49887,A49887,A49887,Monsieur Bossu's treatise of the epick poem,"Le Bossu, René, 1631-1680",1695,EEBO-TCP,['Literary']
A52335,A52335,A52335,"The English historical library, or, A short view and character of most of the writers now extant, either in print or manuscript","Nicolson, William, 1655-1727",1696,EEBO-TCP,['Literary']
A54754,A54754,A54754,"Theatrum poetarum, or, A compleat collection of the poets","Phillips, Edward, 1630-1696?",1675,EEBO-TCP,['Literary']
A54773,A54773,A54773,A reflection on our modern poesy,"Phillips, John, 1631-1706",1695,EEBO-TCP,['Literary']
A55357-pnp,A55357,A55357-pnp,"The Preface, Being a Short Institution of English Poesie","Poole, Josua, fl. 1632-1646.",1657,EEBO-TCP,"['Literary', 'Original Bibliography']"
A58062,A58062,A58062,Observations on the poems of Homer and Virgil,"Rapin, René, 1621-1687",1672,EEBO-TCP,['Literary']
A58068,A58068,A58068,Reflections on Aristotle's treatise of poesie,"Rapin, René, 1621-1687",1674,EEBO-TCP,['Literary']
A59234,A59234,A59234,The mysterie of rhetorique unveil'd,"Smith, John, Gent",1665,EEBO-TCP,['Linguistic']
A65112,A65112,A65112,The works of Virgil,Virgil,1697,EEBO-TCP,['Literary']
A65458,A65458,A65458,An epistle to a friend concerning poetry,"Wesley, Samuel, 1662-1735",1700,EEBO-TCP,"['Literary', 'Original Bibliography']"
A66045,A66045,A66045,"An essay towards a real character, and a philosophical language","Wilkins, John, 1614-1672",1668,EEBO-TCP,['Linguistic']
A66698,A66698,A66698,"The lives of the most famous English poets, or, The honour of Parnassus","Winstanley, William, 1628?-1698",1687,EEBO-TCP,['Literary']
A67135-p20,A67135,A67135-p20,Of Ancient and Modern Eloquence and Poesie.,"Wotton, William, 1666-1727",1694,EEBO-TCP,['Literary']
A67135-p45,A67135,A67135-p45,"Reflections upon Monsieur Perrault's Hypothesis, That Modern Orators and Poets are more excellent than Ancient.","Wotton, William, 1666-1727",1694,EEBO-TCP,['Literary']
A68619,A68619,A68619,The arte of English poesie,"Puttenham, George, d. 1590",1589,EEBO-TCP,"['Literary', 'Original Bibliography']"
A69225,A69225,A69225,"Poems, by J.D. VVith elegies on the authors death","Donne, John, 1572-1631",1633,EEBO-TCP,['Literary']
A69577,A69577,A69577,"A paraphrase upon the Canticles, and some select hymns of the New and Old Testament","Woodford, Samuel, 1636-1700",1679,EEBO-TCP,"['Literary', 'Original Bibliography']"
A70499,A70499,A70499,The art of speaking,"Lamy, Bernard, 1640-1715",1676,EEBO-TCP,['Linguistic']
A87724-pnp,A87724,A87724-pnp,A PREFATORY ESSAY ON Epigrammatic Poetry.,"Killigrew, Henry, 1613-1700.",1694,EEBO-TCP,['Literary']
CB0126082904,CB0126082904,sheridancompleteSV,"A complete dictionary of the English language,","Sheridan, Thomas, 1719-1788",1796,Gale,"['Dictionaries', 'Linguistic']"
CB0126086107,CB0126086107,speakermisc,"The Speaker: or, Miscellaneous pieces, selected from the best English writers.",,1777,Gale,"['Linguistic', 'Literary']"
CB0126124028,CB0126124028,CB0126124028,THE INTRODUCTION.,,1768,Gale,"['Dictionaries', 'Linguistic']"
CB0126228345,CB0126228345,Isaiahtrans,"Isaiah. A new translation: with a preliminary dissertation, and notes, critical, philological, and explanatory.",,1793,Gale,['Literary']
CB0126231877,CB0126231877,CB0126231877,The dunciad. An heroic poem. In three books,"Pope, Alexander, 1688-1744",1728,Gale,['Literary']
CB0126246787,CB0126246787,alexanderprinciples,"The principles of Latin and English grammar. By Alexander Adam, LL.D. rector of the High School of Edinburgh","Adam, Alexander, 1741-1809",1780,Gale,['Linguistic']
CB0126249691,CB0126249691,CB0126249691,"English grammar: or, An essay towards speaking and writing the English language grammatically, and inditing elegantly",,1789,Gale,"['Linguistic', 'Literary']"
CB0126263258,CB0126263258,wardessay,"An essay on grammar, as it may be applied to the English language. In two treatises.","Ward, William, 1708 or 9-1772",1778,Gale,"['Linguistic', 'Literary']"
CB0126337761,CB0126337761,CB0126337761,Bathyllus redivivus,"Greer, John",1718,Gale,"['Linguistic', 'Literary']"
CB0126344005,CB0126344005,fishernewenglish,"The New-English tutor: or, Modern preceptor.","Fisher, A. (Anne), 1719?-1778",1768,Gale,['Linguistic']
CB0126457038,CB0126457038,scottspelling,"A new spelling, pronouncing, and explanatory dictionary of the English language","Scott, William, 1750-1804",1786,Gale,['Word Lists']
CB0126457665,CB0126457665,goughpractical,A practical grammar of the English tongue.,"Gough, James, 1712-1780",1792,Gale,['Linguistic']
CB0126489371,CB0126489371,alexanderprinciples,"The rudiments of Latin and English grammar. By Alexander Adam, LL.D. rector of the high school of Edinburgh","Adam, Alexander, 1741-1809",1786,Gale,"['Linguistic', 'Literary', 'Typographically Unique']"
CB0126605960,CB0126605960,cowardlicentia,Licentia poetica discuss'd,"Coward, William, 1657?-1725",1709,Gale,['Literary']
CB0126606343,CB0126606343,aristotleartofpoetry,Aristotle's art of poetry.,Aristotle,1709,Gale,['Literary']
CB0126667141,CB0126667141,murrayeasy,An easy English grammar: for the use of schools.,"Murray, Alexander, schoolmaster",1793,Gale,['Linguistic']
CB0126834425,CB0126834425,wilsonfishers,"Fisher's grammar improved;  Or, An English grammar in which Fisher's plan is preserved,","Wilson, J., Rev",1797,Gale,"['Linguistic', 'Literary']"
CB0126838693,CB0126838693,CB0126838693,"Rudimenta etymologiæ & syntaxeos, or, A new and easy method of teaching the Latine tongue. Compiled particularly for translating the English into Latine, and è contra; whereas Despauter's syntax is designed universally for all languages. ...","Blau, Robert, fl. 1710",1701,Gale,['Linguistic']
CB0126877864,CB0126877864,CB0126877864,"Public-Spirit,","Alley, Peter",1793,Gale,['Literary']
CB0126881769,CB0126881769,devisaccidence,The accidence,"Devis, Ellin, d. ca. 1784",1788,Gale,['Linguistic']
CB0126881895,CB0126881895,lowthshort,"A short introduction to English grammar, with critical notes. By the Rev. Dr. Lowth","Lowth, Robert, 1710-1787",1785,Gale,['Linguistic']
CB0126884497,CB0126884497,dilworthnew,A new guide to the English tongue. In five parts.,"Dilworth, Thomas, d. 1780",1795,Gale,['Linguistic']
CB0126908963,CB0126908963,dychenew,A new general English dictionary,"Dyche, Thomas, d. ca. 1733",1768,Gale,['Dictionaries']
CB0126916107,CB0126916107,CB0126916107,An introduction to the English grammar,"Corbet, James",1743,Gale,['Linguistic']
CB0127008165,CB0127008165,blairabridgmentscience,Essays on rhetoric.,"Blair, Hugh, 1718-1800",1797,Gale,"['Linguistic', 'Literary']"
CB0127057817,CB0127057817,CB0127057817,The rudiments of Latin syntax and prosody.,"Noyes, Belcher, 1746-1791",1783,Gale,['Linguistic']
CB0127060085,CB0127060085,perryonly,The only sure guide to the English tongue,"Perry, William, lecturer in the Academy at Edinburgh",1788,Gale,"['Linguistic', 'Typographically Unique', 'Word Lists']"
CB0127060264-piii,CB0127060264,wattsprefacehl,PREFACE.,"Watts, Isaac",1798,Gale,['Literary']
CB0127088549,CB0127088549,CB0127088549,"An abstract of English grammar, including rhetoric and pronunciation. By Samuel Edwards, school-master, in Golden-lane","Edwards, Samuel, school-master",1765,Gale,"['Linguistic', 'Literary']"
CB0127106118,CB0127106118,lowthshort,A short introduction to English grammar,"Lowth, Robert, 1710-1787",1775,Gale,['Linguistic']
CB0127170528,CB0127170528,blairabridgmentscience,Essays on rhetorick,"Blair, Hugh, 1718-1800",1798,Gale,"['Linguistic', 'Literary']"
CB0127198483,CB0127198483,newberygrammar,"Grammar made familiar and easy to young gentlemen, ladies, and foreigners.","Newbery, John, 1713-1767",1748,Gale,['Linguistic']
CB0127236278,CB0127236278,stirlingsystemart,"A system of rhetorick, in a method entirely new.","Stirling, John, d. 1777",1788,Gale,"['Linguistic', 'Literary']"
CB0127251015-piii,CB0127251015,wattsprefacehl,THE PREFACE.,"Watts, Isaac",1796,Gale,['Literary']
CB0127268141,CB0127268141,perryroyal,The royal standard English dictionary.,"Perry, William, lecturer in the Academy at Edinburgh",1796,Gale,"['Dictionaries', 'Linguistic', 'Word Lists']"
CB0127340943,CB0127340943,gilchristdictionary,"A dictionary, English and Hindoostanee,","Gilchrist, John, 1759-1841",1787,Gale,"['Dictionaries', 'Linguistic']"
CB0127365931,CB0127365931,CB0127365931,"Grammar made familiar and easy to young gentlemen, ladies, and foreigners.",,1752,Gale,"['Linguistic', 'Literary']"
CB0127369301,CB0127369301,blairheads,"Heads of the lectures on Rhetorick, and belles lettres, in the University of Edinburgh, 1767","Blair, Hugh, 1718-1800",1767,Gale,['Literary']
CB0127376362,CB0127376362,greenwoodroyal,"The royal English grammar,","Greenwood, James, d. 1737",1761,Gale,['Linguistic']
CB0127376362-p138,CB0127376362,greenwoodprosody,PART IV. Of Prosody,"Greenwood, James (author)",1761,Gale,['Linguistic']
CB0127376362-p7,CB0127376362,greenwoodgrammar,PART I.,"Greenwood, James (author)",1761,Gale,['Linguistic']
CB0127377539,CB0127377539,stirlingsystemart,"A system of rhetorick, in a method entirely new.","Stirling, John, d. 1777",1758,Gale,"['Linguistic', 'Literary']"
CB0127392899,CB0127392899,CB0127392899,A plan for instructing pupils in the art of elocution. By J. Rice,"Rice, John, fl. 1765",1779,Gale,['Linguistic']
CB0127394968,CB0127394968,baylyintroduction,An introduction literary and philosophical to languages,"Bayly, Anselm, d. 1794",1756,Gale,"['Linguistic', 'Literary']"
CB0127432243,CB0127432243,brittainrudiments,"Rudiments of English grammar. By the Rev. Lewis Brittain, regent of the English College at Bornhem","Brittain, Lewis, 1744-1827",1790,Gale,['Linguistic']
CB0127452589,CB0127452589,blairabridgmentscience,Essays on rhetoric,"Blair, Hugh, 1718-1800",1784,Gale,"['Linguistic', 'Literary']"
CB0127459169,CB0127459169,wattsart,"The art of reading and writing English: or, The chief principles and rules of pronouncing our mother-tongue, both in prose and verse; with a variety of instructions for true spelling.","Watts, Isaac, 1674-1748",1740,Gale,"['Linguistic', 'Word Lists']"
CB0127460335,CB0127460335,burnpractical,A practical grammar of the English language,"Burn, John, d. 1793",1772,Gale,['Linguistic']
CB0127495592,CB0127495592,murrayabridgment,An abridgment of L. Murray's English grammar.,"Murray, Lindley, 1745-1826",1799,Gale,"['Linguistic', 'Literary']"
CB0127526953,CB0127526953,sheridancourse,A course of lectures on elocution.,"Sheridan, Thomas, 1719-1788",1797,Gale,['Linguistic']
CB0127533980,CB0127533980,CB0127533980,A complete introduction to the Latin tongue,"Ross, Robert, 1726-1799",1767,Gale,['Linguistic']
CB0127551489,CB0127551489,CB0127551489,"A dissertation on letters, and the principles of harmony, in poetic and prosaic composition","Otis, James, 1725-1783",1760,Gale,"['Linguistic', 'Literary']"
CB0127558523,CB0127558523,webstergrammatical,A grammatical institute of the English language,"Webster, Noah, 1758-1843",1790,Gale,['Linguistic']
CB0127582909,CB0127582909,CB0127582909,The first and second books of paradise lost.,"Milton, John, 1608-1674",1793,Gale,['Literary']
CB0127612050,CB0127612050,CB0127612050,The little reader's assistant,"Webster, Noah, 1758-1843",1798,Gale,"['Linguistic', 'Literary']"
CB0127612188,CB0127612188,buchananregular,A regular English syntax.,"Buchanan, James, fl. 1753-1773",1780,Gale,['Linguistic']
CB0127644629,CB0127644629,lowthshort,A short introduction to English grammar,"Lowth, Robert, 1710-1787",1799,Gale,['Linguistic']
CB0127674271,CB0127674271,CB0127674271,"The circles of Gomer or, an essay towards an investigation and introduction of the English, as an universal language, upon the first principles of speech, according to its hieroglyfic signs, argrafic, archetypes, and superior pretensions to originality; a retrieval of original knowledge; and a re-union of nations and opinions on the like principles, as well as the e[vi]dence of ancient writers","Jones, Rowland, 1722-1774",1771,Gale,['Linguistic']
CB0127692776,CB0127692776,fisheraccurate,"An accurate new spelling dictionary, and expositor of the English language.","Fisher, A. (Anne), 1719?-1778",1784,Gale,"['Linguistic', 'Typographically Unique', 'Word Lists']"
CB0127716715,CB0127716715,lowthshort,A short introduction to English grammar: with critical notes,"Lowth, Robert, 1710-1787",1765,Gale,['Linguistic']
CB0127756668,CB0127756668,johnsonenglish,"An English and Hebrew grammar, being the first short rudiments of those two languages, taught together.","Johnson, Samuel, 1696-1772",1767,Gale,['Linguistic']
CB0127760077,CB0127760077,CB0127760077,Prosody made easy.,"Nixon, William",1781,Gale,['Linguistic']
CB0127777937,CB0127777937,whytemiscellanea,"An introductory essay on the art of reading, and speaking in public, part first and second","Whyte, S. (Samuel), 1733-1811",1800,Gale,"['Linguistic', 'Typographically Unique']"
CB0127783065,CB0127783065,fenninguniversal,"The universal spelling-book; or, A new and easy guide to the English language.","Fenning, Daniel",1772,Gale,"['Linguistic', 'Word Lists']"
CB0127783458,CB0127783458,fisherpractical,"A practical new grammar, with exercises of bad English","Fisher, A. (Anne), 1719?-1778",1762,Gale,['Linguistic']
CB0127784830,CB0127784830,lowthshort,A short introduction to English grammar: with critical notes,"Lowth, Robert, 1710-1787",1769,Gale,['Linguistic']
CB0127785659,CB0127785659,fisheraccurate,"An accurate new spelling dictionary, and expositor of the English language.","Fisher, A. (Anne), 1719?-1778",1773,Gale,"['Linguistic', 'Typographically Unique', 'Word Lists']"
CB0127794812,CB0127794812,priestleyrudiments,The rudiments of English grammar adapted to the use of schools,"Priestley, Joseph, 1733-1804",1786,Gale,"['Linguistic', 'Word Lists']"
CB0127795691,CB0127795691,walkercritical,"A critical pronouncing dictionary and expositor of the English language; or, Sheridan's dictionary improved.","Walker, John, 1732-1807",1798,Gale,"['Dictionaries', 'Linguistic', 'Typographically Unique', 'Word Lists']"
CB0127825458,CB0127825458,lowthshort,"A short introduction to English grammar, with critical notes. By the Rev. Dr. Lowth","Lowth, Robert, 1710-1787",1795,Gale,['Linguistic']
CB0127829507,CB0127829507,wattsart,"The art of reading and writing English: or, The chief principles and rules of pronouncing our mother-tongue, both in prose and verse; with a variety of instructions for true spelling.","Watts, Isaac, 1674-1748",1770,Gale,"['Linguistic', 'Word Lists']"
CB0127842171,CB0127842171,rhetoric3,"Rhetoric made familiar and easy to young gentlemen and ladies, and illustrated with several beautiful orations from demosthenes, cicero, sallust, Homer, Shakespeare, Milton, &c.",,1752,Gale,['Linguistic']
CB0127843213,CB0127843213,stirlingsystem,A system of rhetoric.,"Stirling, John, d. 1777",1787,Gale,"['Linguistic', 'Literary']"
CB0127909832,CB0127909832,turnerabstract,An abstract of English grammar and rhetoric,"Turner, Daniel, 1710-1798",1741,Gale,"['Linguistic', 'Literary']"
CB0127929560,CB0127929560,CB0127929560,"A short and easy method to pronounce the French language, now so much in esteem and vogue among the most polite and learned sort of people.","Gence, John",1764,Gale,['Linguistic']
CB0127929825,CB0127929825,newberypoetry,"Poetry made familiar and easy to [y]oung gentlemen and ladies, and [Embeli]sh'd with a great variety of the most ... epigrams, epitaphs, songs, odes, pastorals, &c. from the best authors.","Newbery, John, 1713-1767",1752,Gale,['Literary']
CB0127932751,CB0127932751,webbobservations,Observations on the correspondence between poetry and music.,"Webb, Daniel, 1718 or 19-1798",1769,Gale,['Literary']
CB0127935738,CB0127935738,ashgrammatical,Grammatical institutes,"Ash, John, 1724?-1779",1799,Gale,"['Linguistic', 'Literary']"
CB0127973176,CB0127973176,CB0127973176,"The English grammar, abridged","Dwyer, Charles",1772,Gale,['Linguistic']
CB0128002412,CB0128002412,CB0128002412,A comprehensive grammar,"Meikleham, William, 1770 or 71-1846",1781,Gale,['Linguistic']
CB0128004682,CB0128004682,CB0128004682,Grammar made easie,"Watt, Thomas",1714,Gale,['Linguistic']
CB0128005380,CB0128005380,wardenspelling,A spelling-book,"Warden, John, teacher of English",1753,Gale,"['Linguistic', 'Typographically Unique', 'Word Lists']"
CB0128058273,CB0128058273,CB0128058273,Selections from the French Anas,,1797,Gale,['Literary']
CB0128108681-p179,CB0128108681,CB0128108681-p179,Conjectures on Original Composition. In a Letter to the Author of Sir Charles Grandison - An Essay on Lyric Poetry,"Young, Edward",1796,Gale,['Literary']
CB0128277182,CB0128277182,beattieelements2,Elements of moral science.,"Beattie, James, 1735-1803",1792,Gale,['Literary']
CB0128330490-pi,CB0128330490,CB0128330490-pi,PREFACE.,,1790,Gale,['Literary']
CB0128465842,CB0128465842,elegantex2,Elegant extracts,,1797,Gale,"['Linguistic', 'Literary']"
CB0128515985,CB0128515985,CB0128515985,The works of Robert Burns,"Burns, Robert, 1759-1796",1800,Gale,['Literary']
CB0128516493,CB0128516493,CB0128516493,The works of Robert Burns,"Burns, Robert, 1759-1796",1800,Gale,['Literary']
CB0128516952,CB0128516952,CB0128516952,The works of Robert Burns,"Burns, Robert, 1759-1796",1800,Gale,['Literary']
CB0128602355,CB0128602355,kameselements2v1,Elements of criticism.,"Kames, Henry Home, Lord, 1696-1782",1762,Gale,"['Linguistic', 'Literary']"
CB0128602753,CB0128602753,kameselements2v2,Elements of criticism.,"Kames, Henry Home, Lord, 1696-1782",1762,Gale,['Literary']
CB0128611116,CB0128611116,rollinmethod1,"The method of teaching and studing the Belles lettres,","Rollin, Charles, 1661-1741",1742,Gale,['Literary']
CB0128756159-p385,CB0128756159,CB0128756159-p385,"For MONDAY, April 26, 1784. On the PREVAILING TASTE for POETRY.",,1783,Gale,['Literary']
CB0128756790-p481,CB0128756790,CB0128756790-p481,"For MONDAY, November 22, 1784. ACCOUNT of an UNKNOWN YOUTH, who speaks an UNKNOWN LANGUAGE, lately found in Normandy ; published with a View of discovering his Relations. Translated from the French Papers of September 8, 1784. ",,1783,Gale,['Linguistic']
CB0128760573-p217,CB0128760573,CB0128760573-p217,"The History of Knowledge, Learning, and Taste, in Great Britain, during the Reign of King Henry the Seventh, from the year 1485 to 1509.",,1783,Gale,['Literary']
CB0128765646-p4,CB0128765646,CB0128765646-p4,"The History of Knowledge, Learning, and Taste, in Great Britain, during the Reign of Queen Elizabeth. Part the Third.",,1783,Gale,['Literary']
CB0128766256-p505,CB0128766256,CB0128766256-p505,"The History of Knowledge, Learning, and Taste, in Great Britain, during the Reign of Queen Elizabeth. Part the Fourth and Last : Continued from Page 133 of our last Volume.",,1783,Gale,['Literary']
CB0128770730-p15,CB0128770730,CB0128770730-p15,REMARKS on DESCRIPTIVE POETRY.,,1783,Gale,['Literary']
CB0128771237-p21,CB0128771237,CB0128771237-p21,"On the Use of Definitions, and Accuracy in Language.","More, Hannah",1783,Gale,['Literary']
CB0128772312-p170,CB0128772312,CB0128772312-p170,Historical Account of English Poets Laureat.,,1783,Gale,['Literary']
CB0128772312-p231,CB0128772312,CB0128772312-p231,A German Traveller's Account of his Interview with Dr. Johnson ; and some Remarks on his Writings. ,,1783,Gale,['Literary']
CB0128772312-p408,CB0128772312,CB0128772312-p408,"Narrative of the Infancy and Youth of Robert Burns, the Scotch Poet. Written by Himself.",,1783,Gale,['Literary']
CB0128774422-p177,CB0128774422,CB0128774422-p177,REMARKS on BLANK VERSE.,,1783,Gale,['Literary']
CB0128774422-p6,CB0128774422,CB0128774422-p6,"An Attempt at Some Improvement in that Subordinate Department of Literature, Orthography.",,1783,Gale,['Literary']
CB0128778126-p259,CB0128778126,CB0128778126-p259,POETRY. For the WEEKLY ENTERTAINER. On the DEATH of a YOUNG LADY.,,1783,Gale,['Literary']
CB0128789674-p563,CB0128789674,CB0128789674-p563,INACCURATE PRONUNCIATION.,,1783,Gale,['Linguistic']
CB0129005058-p139,CB0129005058,CB0129005058-p139,On the Italian Pindaric and Anacaeontic Canzonets.,,1796,Gale,['Literary']
CB0129005058-p50,CB0129005058,CB0129005058-p50,On the Ode called by the Italians Petrarchesca.,,1796,Gale,['Literary']
CB0129094193,CB0129094193,crusiuslives1,The lives of the Roman poets.,"Crusius, Lewis, 1701-1775",1732,Gale,['Literary']
CB0129094722,CB0129094722,crusiuslives2,The lives of the Roman poets.,"Crusius, Lewis, 1701-1775",1732,Gale,['Literary']
CB0129112818-p118,CB0129112818,CB0129112818-p118,A Dissertation on the Modern Ode.,"Lloyd, Robert",1762,Gale,['Literary']
