ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections
uc1.$b662800,uc1.$b662800,uc1.$b662800,"Argumentation and debate,","O'Neill, James M. (James Milton), 1881-1970",1917,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b662809,uc1.$b662809,uc1.$b662809,"Hints on elocution, and how to become an actor,","Smith, Charles William",1871,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b662822,uc1.$b662822,uc1.$b662822,The Universal standard speaker;,"Hoyle, Frances P.",1915,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b662825,uc1.$b662825,bellstandard,Standard elocutionist.,"Bell, David Charles, 1817-1901",1881,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b662830,uc1.$b662830,uc1.$b662830,Independent fifth reader :,"Watson, J. Madison (James Madison), 1827-1900",1876,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b662902,uc1.$b662902,uc1.$b662902,The poems and fragments of Catullus,"Catullus, Gaius Valerius",1871,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.$b663294,uc1.$b663294,writingscholar,The writing scholar's companion (1695),,1911,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b663304,uc1.$b663304,greevercentury,"The Century handbook of writing,","Greever, Garland, 1883-1967",1922,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b663308,uc1.$b663308,uc1.$b663308,Tiw;,"Barnes, William, 1801-1886",1862,HathiTrust,['Literary']
uc1.$b663338,uc1.$b663338,brucenew,The new world: college readings in English;,"Bruce, Harold Lawton, 1887-1934, ed",1920,HathiTrust,['Literary']
uc1.$b663345,uc1.$b663345,curlexpository,"Expository writing,","Curl, Mervin James",1919,HathiTrust,['Linguistic']
uc1.$b663353,uc1.$b663353,omondstudy,"A study of metre,","Omond, T. S. (Thomas Stewart), 1846-1923",1920,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.$b663355,uc1.$b663355,uc1.$b663355,"A book of English prosody,","Grew, Sydney, 1879-",1924,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.$b683534-p521,uc1.$b683534,arnoldappendix,Appendix; On English Meters,"Arnold, Thomas",1889,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.$b683684,uc1.$b683684,oxfordboev,"The Oxford book of English verse, 1250-1900",,1921,HathiTrust,['Literary']
uc1.$b683825,uc1.$b683825,uc1.$b683825,An essay on English poetry;,"Campbell, Thomas, 1777-1844",1848,HathiTrust,['Literary']
uc1.$b683829,uc1.$b683829,gayleyenglishX,"English poetry,","Gayley, Charles Mills, 1858-1932",1920,HathiTrust,['Literary']
uc1.$b683845,uc1.$b683845,uc1.$b683845,"The future of English poetry,","Gosse, Edmund, 1849-1928",1913,HathiTrust,['Literary']
uc1.$b683875,uc1.$b683875,monrosome,Some contemporary poets (1920),"Monro, Harold, 1879-1932",1920,HathiTrust,['Literary']
uc1.$b683881,uc1.$b683881,wilkinsonnew,New voices;,"Wilkinson, Marguerite, 1883-1928",1921,HathiTrust,['Literary']
uc1.$b683885,uc1.$b683885,simpsonelizabethan,The Elizabethan translations of Seneca's tragedies,"Simpson, Evelyn Mary Spearing, 1885-1963",1912,HathiTrust,['Literary']
uc1.$b685775,uc1.$b685775,hammertongeorge,"George Meredith,","Hammerton, J. A. (John Alexander), Sir, 1871-1949",1911,HathiTrust,['Literary']
uc1.$b685838,uc1.$b685838,grossefrom,From Shakespeare to Pope;,"Gosse, Edmund, 1849-1928",1885,HathiTrust,['Literary']
uc1.$b699725,uc1.$b699725,noelarmfieldgeneral,General phonetics for missionaries and students of languages,"Noël-Armfield, George",1919,HathiTrust,"['Linguistic', 'Typographically Unique']"
uc1.$b700557,uc1.$b700557,uc1.$b700557,A colloquial Sinhalese reader in phonetic transcription,"Perera, Henry S.",1919,HathiTrust,"['Linguistic', 'Typographically Unique']"
uc1.$b729300,uc1.$b729300,uc1.$b729300,The phonarthron.,"Henslowe, William Henry",1840,HathiTrust,"['Linguistic', 'Typographically Unique']"
uc1.$b734606,uc1.$b734606,uc1.$b734606,The collocation of the adverb of degree in Roman comedy and Cato ...,"Booth, Bertha Ellis",1923,HathiTrust,"['Literary', 'Typographically Unique']"
uc1.$b735429,uc1.$b735429,blairlatin,Latin pronunciation.,"Blair, Walter. 1835-1909",1873,HathiTrust,"['Linguistic', 'Word Lists']"
uc1.$b736731,uc1.$b736731,uc1.$b736731,"Remarks, explanatory and illustrative, on the Terentian metres,","McCaul, John",1828,HathiTrust,['Literary']
uc1.$b792863,uc1.$b792863,saintsburyprosody1,"A history of English prosody from the twelfth century to the present day,","Saintsbury, George, 1845-1933",1923,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.$b792864,uc1.$b792864,saintsburyprosody2,"A history of English prosody from the twelfth century to the present day,","Saintsbury, George, 1845-1933",1923,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.$b792865,uc1.$b792865,saintsburyprosody3,"A history of English prosody from the twelfth century to the present day,","Saintsbury, George, 1845-1933",1923,HathiTrust,"['Literary', 'Original Bibliography']"
uc1.$b794827,uc1.$b794827,canbydefinitions,Definitions;,"Canby, Henry Seidel, 1878-1961",1922,HathiTrust,['Literary']
uc1.$b796013,uc1.$b796013,uc1.$b796013,"Voice and nerve control,","Bell-Ranske, Jutta, Mrs",1915,HathiTrust,"['Linguistic', 'Literary']"
uc1.$b796018,uc1.$b796018,koflerart,The art of breathing as the basis of tone-production,"Kofler, Leo, 1837-1908",1897,HathiTrust,['Linguistic']
uc1.$b814187-p223,uc1.$b814187,uc1.$b814187-p223,Commodian and Medieval Rhythmic Verse,"Strutevant, E. H.",1926,HathiTrust,"['Literary', 'Original Bibliography', 'Typographically Unique']"
uc1.31158000104520,uc1.31158000104520,guttmangymnastics,Gymnastics of the voice for song and speech :,"Guttmann, Oskar",1893,HathiTrust,"['Linguistic', 'Typographically Unique']"
uc1.31158000568948,uc1.31158000568948,garnettage,The age of Dryden.,"Garnett, Richard, 1835-1906",1907,HathiTrust,['Literary']
uc1.31158002874443,uc1.31158002874443,uc1.31158002874443,"An essay on English orthography,","Kerr, James",1859,HathiTrust,"['Linguistic', 'Typographically Unique', 'Word Lists']"
uc1.31158003239810,uc1.31158003239810,uc1.31158003239810,The French pronouncing primer.,"Morel, Charles F.",1869,HathiTrust,['Linguistic']
uc1.31158004572698,uc1.31158004572698,uc1.31158004572698,Facial speech reading and articulation teaching,"Bell, Alexander Melville, 1819-1905",1903,HathiTrust,"['Linguistic', 'Literary', 'Typographically Unique']"
uc1.31158004622279,uc1.31158004622279,walkerrhyming,"A rhyming dictionary: answering at the same time the purposes of spelling, pronouncing, and explaining the English language.","Walker, John, 1732-1807",1866,HathiTrust,"['Linguistic', 'Literary', 'Word Lists']"
uc1.31158004749270,uc1.31158004749270,uc1.31158004749270,An outline of vocal physiology and Bell's Visible speech.,"Kidder, Charles Winslow, b. 1861",1896,HathiTrust,"['Linguistic', 'Typographically Unique']"
uc1.31158006469067,uc1.31158006469067,kelloggtextbook,A text-book on rhetoric :,"Kellogg, Brainerd",1884,HathiTrust,['Linguistic']
uc1.31158006664030,uc1.31158006664030,trenchstudy,"On the study of words,","Trench, Richard Chenevix, 1807-1886",1920,HathiTrust,"['Linguistic', 'Literary']"
uc1.31158007444515,uc1.31158007444515,stedmanpoets,Poets of America,"Stedman, Edmund Clarence, 1833-1908",1897,HathiTrust,['Literary']
