filename,mtime,last_modified
30000099965620.mets.xml,1662899713.818954,2022-09-11 08:35:13.818954
30000099965604.zip,1684235801.341843,2023-05-16 07:16:41.341843
30000099965604.mets.xml,1683999417.753091,2023-05-13 13:36:57.753091
30000048901627.mets.xml,1690944976.633173,2023-08-01 22:56:16.633173
30000048901627.zip,1691149117.460839,2023-08-04 07:38:37.460839
30000053832469.zip,1672833194.923251,2023-01-04 06:53:14.923251
30000053832469.mets.xml,1672612326.417039,2023-01-01 17:32:06.417039
30000054488253.mets.xml,1693817908.297156,2023-09-04 04:58:28.297156
30000054488253.zip,1694088655.765331,2023-09-07 08:10:55.765331
30000092253941.zip,1671794271.798726,2022-12-23 06:17:51.798726
30000092253941.mets.xml,1671553825.830024,2022-12-20 11:30:25.830024
30000092253925.mets.xml,1681086166.107214,2023-04-09 20:22:46.107214
30000092253925.zip,1681765697.055379,2023-04-17 17:08:17.055379
30000092095821.zip,1666697076.527966,2022-10-25 07:24:36.527966
30000092095821.mets.xml,1666487874.247741,2022-10-22 21:17:54.247741
30000092095763.mets.xml,1666487821.941497,2022-10-22 21:17:01.941497
30000092095763.zip,1666697075.240186,2022-10-25 07:24:35.240186
30000092051097.mets.xml,1666575299.300109,2022-10-23 21:34:59.300109
30000092051097.zip,1666783061.66816,2022-10-26 07:17:41.668160
30000079451955.zip,1677324811.296968,2023-02-25 06:33:31.296968
30000079451955.mets.xml,1677076790.907244,2023-02-22 09:39:50.907244
30000005037720.zip,1672398914.183561,2022-12-30 06:15:14.183561
30000005037720.mets.xml,1672143947.084357,2022-12-27 07:25:47.084357
30000113491777.mets.xml,1695511455.959037,2023-09-23 19:24:15.959037
30000113491777.zip,1695727156.819171,2023-09-26 07:19:16.819171
30000113392512.mets.xml,1695749527.777643,2023-09-26 13:32:07.777643
30000113392512.zip,1695986770.502301,2023-09-29 07:26:10.502301
30000125507115.mets.xml,1705185218.476019,2024-01-13 17:33:38.476019
30000125507115.zip,1705409745.171962,2024-01-16 07:55:45.171962
30000100203904.mets.xml,1671624724.084312,2022-12-21 07:12:04.084312
30000100203904.zip,1671880681.86736,2022-12-24 06:18:01.867360
30000120727684.zip,1705662867.072895,2024-01-19 06:14:27.072895
30000120727684.mets.xml,1705400779.649384,2024-01-16 05:26:19.649384
30000120497189.zip,1708773715.94895,2024-02-24 06:21:55.948950
30000120497189.mets.xml,1708520185.186693,2024-02-21 07:56:25.186693
30000120496710.mets.xml,1695528158.114535,2023-09-24 00:02:38.114535
30000120496710.zip,1695812711.107881,2023-09-27 07:05:11.107881
30000120344845.zip,1691320996.942254,2023-08-06 07:23:16.942254
30000120344845.mets.xml,1691120456.376585,2023-08-03 23:40:56.376585
30000120346014.mets.xml,1691127498.158075,2023-08-04 01:38:18.158075
30000120346014.zip,1691407169.533731,2023-08-07 07:19:29.533731
30000120153519.zip,1691407172.735371,2023-08-07 07:19:32.735371
30000120153519.mets.xml,1691125755.115248,2023-08-04 01:09:15.115248
30000120153212.zip,1684580700.419694,2023-05-20 07:05:00.419694
30000120153212.mets.xml,1684347952.595405,2023-05-17 14:25:52.595405
30000120316348.zip,1691234945.12817,2023-08-05 07:29:05.128170
30000120316348.mets.xml,1690950038.150238,2023-08-02 00:20:38.150238
30000120337393.zip,1691234945.374206,2023-08-05 07:29:05.374206
30000120337393.mets.xml,1690950026.023798,2023-08-02 00:20:26.023798
30000120338953.zip,1691407172.023088,2023-08-07 07:19:32.023088
30000120338953.mets.xml,1691127540.230922,2023-08-04 01:39:00.230922
30000108822838.zip,1703417196.645037,2023-12-24 06:26:36.645037
30000108822838.mets.xml,1703188992.198874,2023-12-21 15:03:12.198874
30000108334503.zip,1705230702.667342,2024-01-14 06:11:42.667342
30000108334503.mets.xml,1704996603.343203,2024-01-11 13:10:03.343203
30000121122794.zip,1680867496.493293,2023-04-07 07:38:16.493293
30000121122794.mets.xml,1680621766.495224,2023-04-04 11:22:46.495224
30000127827305.mets.xml,1696248354.222598,2023-10-02 08:05:54.222598
30000127827305.zip,1696504954.267841,2023-10-05 07:22:34.267841
30000103737619.zip,1672751094.903872,2023-01-03 08:04:54.903872
30000103737619.mets.xml,1672531198.004594,2022-12-31 18:59:58.004594
30000118282015.zip,1691407159.378288,2023-08-07 07:19:19.378288
30000118282015.mets.xml,1691127568.218725,2023-08-04 01:39:28.218725
30000118281884.zip,1691234900.385541,2023-08-05 07:28:20.385541
30000118281884.mets.xml,1690950331.030944,2023-08-02 00:25:31.030944
30000118287469.zip,1691666022.745312,2023-08-10 07:13:42.745312
30000118287469.mets.xml,1691414024.940439,2023-08-07 09:13:44.940439
30000118591514.zip,1674904867.857582,2023-01-28 06:21:07.857582
30000118591514.mets.xml,1674651546.493907,2023-01-25 07:59:06.493907
30000112841113.mets.xml,1704320510.645725,2024-01-03 17:21:50.645725
30000112841113.zip,1704544611.568959,2024-01-06 07:36:51.568959
30000112051937.mets.xml,1696055377.42133,2023-09-30 02:29:37.421330
30000112051937.zip,1696332024.836638,2023-10-03 07:20:24.836638
30000131063004.mets.xml,1695513982.481143,2023-09-23 20:06:22.481143
30000131063004.zip,1695727363.261253,2023-09-26 07:22:43.261253
30000104007657.mets.xml,1680199626.2484,2023-03-30 14:07:06.248400
30000104007657.zip,1680435880.277642,2023-04-02 07:44:40.277642
30000104005750.zip,1680435871.894777,2023-04-02 07:44:31.894777
30000104005750.mets.xml,1680199597.639307,2023-03-30 14:06:37.639307
30000104887165.zip,1695986673.747728,2023-09-29 07:24:33.747728
30000104887165.mets.xml,1695750257.299909,2023-09-26 13:44:17.299909
30000104324383.zip,1663153832.693637,2022-09-14 07:10:32.693637
30000104324383.mets.xml,1662897413.930981,2022-09-11 07:56:53.930981
ark+=13960=t7vm4j75c.mets.xml,1362010065.3256598,2013-02-27 19:07:45.325660
ark+=13960=t7vm4j75c.zip,1440759297.1964703,2015-08-28 06:54:57.196470
ark+=13960=t2697961v.zip,1544688697.2672365,2018-12-13 03:11:37.267236
ark+=13960=t2697961v.mets.xml,1544512582.2867641,2018-12-11 02:16:22.286764
ark+=13960=t8w95458t.mets.xml,1361997378.697324,2013-02-27 15:36:18.697324
ark+=13960=t8w95458t.zip,1442457569.160912,2015-09-16 22:39:29.160912
ark+=13960=t0wp9t815.zip,1440756234.7329307,2015-08-28 06:03:54.732931
ark+=13960=t0wp9t815.mets.xml,1361869731.0675385,2013-02-26 04:08:51.067538
ark+=13960=t83j3d594.zip,1544602095.647495,2018-12-12 03:08:15.647495
ark+=13960=t83j3d594.mets.xml,1544425013.614777,2018-12-10 01:56:53.614777
ark+=13960=t71v5dt65.mets.xml,1544383665.2738688,2018-12-09 14:27:45.273869
ark+=13960=t71v5dt65.zip,1544515689.7645342,2018-12-11 03:08:09.764534
ark+=13960=t00002r8b.mets.xml,1543976801.0631003,2018-12-04 21:26:41.063100
ark+=13960=t00002r8b.zip,1544083406.7614388,2018-12-06 03:03:26.761439
ark+=13960=t20c51b8s.mets.xml,1544164617.872872,2018-12-07 01:36:57.872872
ark+=13960=t20c51b8s.zip,1544342629.6248612,2018-12-09 03:03:49.624861
ark+=13960=t9765d284.mets.xml,1361992867.0590837,2013-02-27 14:21:07.059084
ark+=13960=t9765d284.zip,1442457878.2786014,2015-09-16 22:44:38.278601
ark+=13960=t2m61k10v.zip,1442578300.9347498,2015-09-18 08:11:40.934750
ark+=13960=t2m61k10v.mets.xml,1544181480.065161,2018-12-07 06:18:00.065161
ark+=13960=t1gh9d71k.zip,1450371907.7588668,2015-12-17 12:05:07.758867
ark+=13960=t1gh9d71k.mets.xml,1361870790.270313,2013-02-26 04:26:30.270313
ark+=13960=t8ff3wr3q.zip,1440759502.0639963,2015-08-28 06:58:22.063996
ark+=13960=t8ff3wr3q.mets.xml,1362002754.74685,2013-02-27 17:05:54.746850
ark+=13960=t2x34rv12.zip,1442452136.0476205,2015-09-16 21:08:56.047621
ark+=13960=t2x34rv12.mets.xml,1362094838.3184133,2013-02-28 18:40:38.318413
ark+=13960=t1zc7zj8t.zip,1442451277.7108614,2015-09-16 20:54:37.710861
ark+=13960=t1zc7zj8t.mets.xml,1362092779.873592,2013-02-28 18:06:19.873592
ark+=13960=t3418c83t.zip,1544342953.1521866,2018-12-09 03:09:13.152187
ark+=13960=t3418c83t.mets.xml,1544231666.7799144,2018-12-07 20:14:26.779914
ark+=13960=t6c24th73.mets.xml,1544356171.278565,2018-12-09 06:49:31.278565
ark+=13960=t6c24th73.zip,1544515797.8957758,2018-12-11 03:09:57.895776
ark+=13960=t80k28s1q.mets.xml,1362008788.0651538,2013-02-27 18:46:28.065154
ark+=13960=t80k28s1q.zip,1442593326.7788577,2015-09-18 12:22:06.778858
ark+=13960=t7cr5zz17.mets.xml,1544399078.9838665,2018-12-09 18:44:38.983866
ark+=13960=t7cr5zz17.zip,1544515883.8686752,2018-12-11 03:11:23.868675
ark+=13960=t3tt4qw3n.zip,1544429318.4821203,2018-12-10 03:08:38.482120
ark+=13960=t3tt4qw3n.mets.xml,1544258193.5841808,2018-12-08 03:36:33.584181
ark+=13960=t3jw8f89w.zip,1442452734.235907,2015-09-16 21:18:54.235907
ark+=13960=t3jw8f89w.mets.xml,1362060645.3060768,2013-02-28 09:10:45.306077
ark+=13960=t1kh0hj2v.zip,1442450954.8100336,2015-09-16 20:49:14.810034
ark+=13960=t1kh0hj2v.mets.xml,1361869802.2135148,2013-02-26 04:10:02.213515
ark+=13960=t6154hx5q.mets.xml,1362032398.3382642,2013-02-28 01:19:58.338264
ark+=13960=t6154hx5q.zip,1450372671.6204188,2015-12-17 12:17:51.620419
ark+=13960=t9m333p7m.mets.xml,1361973225.0,2013-02-27 08:53:45
ark+=13960=t9m333p7m.zip,1442458239.0,2015-09-16 22:50:39
ark+=13960=t81j9kf1k.zip,1544602330.4773233,2018-12-12 03:12:10.477323
ark+=13960=t81j9kf1k.mets.xml,1544422553.833214,2018-12-10 01:15:53.833214
ark+=13960=t3ws8kw29.zip,1544429287.4863772,2018-12-10 03:08:07.486377
ark+=13960=t3ws8kw29.mets.xml,1544259780.4430566,2018-12-08 04:03:00.443057
ark+=13960=t3ws8jw4v.zip,1440757525.4431126,2015-08-28 06:25:25.443113
ark+=13960=t3ws8jw4v.mets.xml,1362056738.9383843,2013-02-28 08:05:38.938384
ark+=13960=t1jh3gk93.zip,1544256896.5805154,2018-12-08 03:14:56.580515
ark+=13960=t1jh3gk93.mets.xml,1544154131.9292006,2018-12-06 22:42:11.929201
ark+=13960=t5fb5337h.mets.xml,1362038153.4274478,2013-02-28 02:55:53.427448
ark+=13960=t5fb5337h.zip,1440758216.130607,2015-08-28 06:36:56.130607
ark+=13960=t3028r41q.zip,1442452188.430193,2015-09-16 21:09:48.430193
ark+=13960=t3028r41q.mets.xml,1362094292.7475584,2013-02-28 18:31:32.747558
ark+=13960=t59c6v087.zip,1442454257.56555,2015-09-16 21:44:17.565550
ark+=13960=t59c6v087.mets.xml,1362039618.9039052,2013-02-28 03:20:18.903905
ark+=13960=t52f7n57d.zip,1544429276.7094631,2018-12-10 03:07:56.709463
ark+=13960=t52f7n57d.mets.xml,1544305988.0070744,2018-12-08 16:53:08.007074
ark+=13960=t4cn7281d.mets.xml,1544277588.8322375,2018-12-08 08:59:48.832237
ark+=13960=t4cn7281d.zip,1544429325.8548748,2018-12-10 03:08:45.854875
ark+=13960=t4bp05b0f.mets.xml,1544276610.1236596,2018-12-08 08:43:30.123660
ark+=13960=t4bp05b0f.zip,1544429244.2147303,2018-12-10 03:07:24.214730
b000701439.zip,1698407847.568187,2023-10-27 07:57:27.568187
b000701439.mets.xml,1698178797.448203,2023-10-24 16:19:57.448203
b000949531.mets.xml,1692759630.091399,2023-08-22 23:00:30.091399
b000949531.zip,1692963319.779509,2023-08-25 07:35:19.779509
b3515121.zip,1704198400.630962,2024-01-02 07:26:40.630962
b3515121.mets.xml,1703955746.934533,2023-12-30 12:02:26.934533
b3515127.zip,1681827826.011824,2023-04-18 10:23:46.011824
b3515127.mets.xml,1663642858.516735,2022-09-19 23:00:58.516735
b3515128.zip,1665490700.626531,2022-10-11 08:18:20.626531
b3515128.mets.xml,1665232938.730138,2022-10-08 08:42:18.730138
b3514742.mets.xml,1663642735.438991,2022-09-19 22:58:55.438991
b3514742.zip,1681827789.580564,2023-04-18 10:23:09.580564
b3514745.zip,1681827792.032522,2023-04-18 10:23:12.032522
b3514745.mets.xml,1663642797.203593,2022-09-19 22:59:57.203593
b3512888.mets.xml,1665228461.762869,2022-10-08 07:27:41.762869
b3512888.zip,1665490643.007098,2022-10-11 08:17:23.007098
b3514895.mets.xml,1663642796.591534,2022-09-19 22:59:56.591534
b3514895.zip,1681827798.716137,2023-04-18 10:23:18.716137
b3514836.mets.xml,1665019178.699103,2022-10-05 21:19:38.699103
b3514836.zip,1665231955.501643,2022-10-08 08:25:55.501643
b3515394.zip,1681827848.73328,2023-04-18 10:24:08.733280
b3515394.mets.xml,1663642915.923561,2022-09-19 23:01:55.923561
b3515393.zip,1691327506.992315,2023-08-06 09:11:46.992315
b3515393.mets.xml,1691049812.717045,2023-08-03 04:03:32.717045
b3515395.zip,1681827851.433324,2023-04-18 10:24:11.433324
b3515395.mets.xml,1663666739.916834,2022-09-20 05:38:59.916834
b3515392.mets.xml,1663666703.793822,2022-09-20 05:38:23.793822
b3515392.zip,1681827849.136864,2023-04-18 10:24:09.136864
b3515213.zip,1681827843.57395,2023-04-18 10:24:03.573950
b3515213.mets.xml,1663666735.575343,2022-09-20 05:38:55.575343
b3113870.zip,1685472726.063921,2023-05-30 14:52:06.063921
b3113870.mets.xml,1685168906.127631,2023-05-27 02:28:26.127631
b3110272.mets.xml,1713590679.62718,2024-04-20 01:24:39.627180
b3110272.zip,1713876356.910566,2024-04-23 08:45:56.910566
b3110240.mets.xml,1698695919.640583,2023-10-30 15:58:39.640583
b3110240.zip,1698926339.286081,2023-11-02 07:58:59.286081
b3114961.zip,1685472751.786024,2023-05-30 14:52:31.786024
b3114961.mets.xml,1685168812.114008,2023-05-27 02:26:52.114008
b3110927.mets.xml,1714328198.510207,2024-04-28 14:16:38.510207
b3110927.zip,1714567558.654046,2024-05-01 08:45:58.654046
b3113633.zip,1662123129.207705,2022-09-02 08:52:09.207705
b3113633.mets.xml,1661858088.663089,2022-08-30 07:14:48.663089
b3385165.mets.xml,1702883036.373907,2023-12-18 02:03:56.373907
b3385165.zip,1703164851.601417,2023-12-21 08:20:51.601417
b3385173.mets.xml,1686537899.299333,2023-06-11 22:44:59.299333
b3385173.zip,1686743906.369238,2023-06-14 07:58:26.369238
b3386320.zip,1703164887.51231,2023-12-21 08:21:27.512310
b3386320.mets.xml,1702948811.313859,2023-12-18 20:20:11.313859
b3386186.mets.xml,1668153945.706166,2022-11-11 03:05:45.706166
b3386186.zip,1668428946.017178,2022-11-14 07:29:06.017178
b3386154.mets.xml,1671747313.251413,2022-12-22 17:15:13.251413
b3386154.zip,1671975125.3254,2022-12-25 08:32:05.325400
b3385486.zip,1686743957.070458,2023-06-14 07:59:17.070458
b3385486.mets.xml,1686537532.154643,2023-06-11 22:38:52.154643
b3385477.zip,1686743955.83575,2023-06-14 07:59:15.835750
b3385477.mets.xml,1686537536.525902,2023-06-11 22:38:56.525902
b3385513.mets.xml,1702882849.519698,2023-12-18 02:00:49.519698
b3385513.zip,1703164861.922752,2023-12-21 08:21:01.922752
b3146104.mets.xml,1713607064.359596,2024-04-20 05:57:44.359596
b3146104.zip,1713878087.775992,2024-04-23 09:14:47.775992
b3269424.zip,1662206063.687021,2022-09-03 07:54:23.687021
b3269424.mets.xml,1661920331.19857,2022-08-31 00:32:11.198570
b3267361.mets.xml,1659343889.930862,2022-08-01 04:51:29.930862
b3267361.zip,1659619636.363689,2022-08-04 09:27:16.363689
b3136896.mets.xml,1713599397.304782,2024-04-20 03:49:57.304782
b3136896.zip,1713877625.589752,2024-04-23 09:07:05.589752
b3132074.zip,1685473194.247679,2023-05-30 14:59:54.247679
b3132074.mets.xml,1684901838.142354,2023-05-24 00:17:18.142354
b3139720.mets.xml,1665401568.606531,2022-10-10 07:32:48.606531
b3139720.zip,1665659503.690911,2022-10-13 07:11:43.690911
b3130923.mets.xml,1684291771.062339,2023-05-16 22:49:31.062339
b3130923.zip,1684496594.643943,2023-05-19 07:43:14.643943
b3135318.mets.xml,1684901828.831331,2023-05-24 00:17:08.831331
b3135318.zip,1685473268.132299,2023-05-30 15:01:08.132299
b3130484.mets.xml,1685119010.152329,2023-05-26 12:36:50.152329
b3130484.zip,1685473153.163269,2023-05-30 14:59:13.163269
b3130486.zip,1685473154.23212,2023-05-30 14:59:14.232120
b3130486.mets.xml,1685119082.157474,2023-05-26 12:38:02.157474
b3130523.zip,1671801627.848017,2022-12-23 08:20:27.848017
b3130523.mets.xml,1671587077.304263,2022-12-20 20:44:37.304263
b3706722.zip,1665834768.706528,2022-10-15 07:52:48.706528
b3706722.mets.xml,1665607114.433189,2022-10-12 16:38:34.433189
b3410651.zip,1685619557.316491,2023-06-01 07:39:17.316491
b3410651.mets.xml,1685335582.731469,2023-05-29 00:46:22.731469
b3410107.zip,1685619548.905821,2023-06-01 07:39:08.905821
b3410107.mets.xml,1685335607.032453,2023-05-29 00:46:47.032453
b3410108.mets.xml,1684861895.40323,2023-05-23 13:11:35.403230
b3410108.zip,1685476771.515161,2023-05-30 15:59:31.515161
b3073952.mets.xml,1714279170.012324,2024-04-28 00:39:30.012324
b3073952.zip,1714563295.655643,2024-05-01 07:34:55.655643
b3826626.zip,1713442243.374145,2024-04-18 08:10:43.374145
b3826626.mets.xml,1713189882.938154,2024-04-15 10:04:42.938154
b3826627.zip,1659621290.279123,2022-08-04 09:54:50.279123
b3826627.mets.xml,1659355582.374117,2022-08-01 08:06:22.374117
b3826628.zip,1713442242.798595,2024-04-18 08:10:42.798595
b3826628.mets.xml,1713189891.410901,2024-04-15 10:04:51.410901
b3827722.mets.xml,1684964532.480109,2023-05-24 17:42:12.480109
b3827722.zip,1685481813.910593,2023-05-30 17:23:33.910593
b3491185.zip,1681824892.3522,2023-04-18 09:34:52.352200
b3491185.mets.xml,1663582540.089857,2022-09-19 06:15:40.089857
b3839310.zip,1665493313.147892,2022-10-11 09:01:53.147892
b3839310.mets.xml,1665259048.941999,2022-10-08 15:57:28.941999
b3240069.mets.xml,1702946948.493095,2023-12-18 19:49:08.493095
b3240069.zip,1703163042.234586,2023-12-21 07:50:42.234586
b3912405.mets.xml,1691874900.697278,2023-08-12 17:15:00.697278
b3912405.zip,1692102253.518446,2023-08-15 08:24:13.518446
b3919785.mets.xml,1664497045.177793,2022-09-29 20:17:25.177793
b3919785.zip,1664715444.913777,2022-10-02 08:57:24.913777
b3919998.zip,1685883712.039151,2023-06-04 09:01:52.039151
b3919998.mets.xml,1685603888.30048,2023-06-01 03:18:08.300480
b3670095.mets.xml,1665340557.815417,2022-10-09 14:35:57.815417
b3670095.zip,1665576538.376206,2022-10-12 08:08:58.376206
b3885866.zip,1664713646.802694,2022-10-02 08:27:26.802694
b3885866.mets.xml,1664486180.64796,2022-09-29 17:16:20.647960
b3885859.mets.xml,1685733456.124192,2023-06-02 15:17:36.124192
b3885859.zip,1685968731.60075,2023-06-05 08:38:51.600750
b3560702.mets.xml,1684960639.749688,2023-05-24 16:37:19.749688
b3560702.zip,1685480367.717567,2023-05-30 16:59:27.717567
b3564915.mets.xml,1663757081.144882,2022-09-21 06:44:41.144882
b3564915.zip,1681831131.716384,2023-04-18 11:18:51.716384
b3564893.zip,1681831126.799357,2023-04-18 11:18:46.799357
