ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections,recordid,oclc,locnum,author,imprint,datetype,startdate,enddate,imprintdate,place,enumcron,subjects,title
ien.35556040857443,ien.35556040857443,ien.35556040857443,"Julian of Toledo 'De vitiis et figuris',","Julianus, Saint, Bp. of Toledo, d. 690",1922,HathiTrust,['Literary'],11924785,742368055,,"Julianus,","London;New York;Pub. for St. Andrews University by H. Milford, Oxford University press;1922.",s,1922,    ,1922,enk,,"Rhetoric, Ancient",Julian of Toledo 'De vitiis et figuris'
inu.30000005037720,inu.30000005037720,bryanthistory,"A history of English balladry, and other studies.","Bryant, Frank Egbert, 1877-1910",1919,HathiTrust,['Literary'],6054801,2548020,,"Bryant, Frank Egbert,",Boston;Four Seas Co.;1919 [c1913,c,1919,1913,1919,mau,,"History;Ballads, English;History and criticism;Lessing, Gotthold Ephraim;1729-1781;Laokoon;English language","A history of English balladry, and other studies"
inu.30000048901627,inu.30000048901627,inu.30000048901627,The dramatic element in the popular ballad.,"Miller, George Morey",1905,HathiTrust,['Literary'],6929266,5329275,AS36.C46,"Miller, George Morey.","Cincinnati, O.;The University of Cincinnati press;1905.",s,1905,    ,1905,ohu,,Ballads,The dramatic element in the popular ballad
inu.30000063814093,inu.30000063814093,oxfordboev,"The Oxford book of English verse, 1250-1900;",,1907,HathiTrust,['Literary'],8569146,1616213,,,Oxford;Clarendon press;1907.,s,1907,    ,1907,xx ,,English poetry,"The Oxford book of English verse, 1250-1900;"
inu.30000079451955,inu.30000079451955,inu.30000079451955,"Biographia literaria, chapters I-IV, XIV-XXII.","Coleridge, Samuel",1920,HathiTrust,['Literary'],6057691,42957563,,"Coleridge, Samuel.",Cambridge;University Press;1920.,s,1920,    ,1920,enk,,,"Biographia literaria, chapters I-IV, XIV-XXII"
inu.30000099956629,inu.30000099956629,inu.30000099956629,The principles of speech;,"Merry, Glenn Newton",1921,HathiTrust,['Linguistic'],11817302,10205902,PN4121.M55 1921,"Merry, Glenn Newton.","Iowa City, Ia.;The Clio press;1921.",s,1921,    ,1921,iau,,Elocution,The principles of speech;
inu.30000118281884,inu.30000118281884,inu.30000118281884,English grammar and composition in which the science of the language is made tributary to the art of expression ;,"Reed, Alonzo, d. 1899",1906,HathiTrust,['Linguistic'],11814872,20696237,,"Reed, Alonzo,","New York;Maynard, Merrill, & co.;1906.",s,1906,    ,1906,nyu,,Grammar;English language,English grammar and composition in which the science of the language is made tributary to the art of expression ;
inu.30000120316348,inu.30000120316348,inu.30000120316348,"Berry's spelling book,","Elson, William H. (William Harris), 1856-1935",1921,HathiTrust,"['Linguistic', 'Word Lists']",11814846,17702021,PE1146.E45,"Elson, William H.",Chicago;B.D. Berry company;c1921,s,1921,    ,1921,ilu,,Orthography and spelling;English language,Berry's spelling book
inu.30000120344845,inu.30000120344845,inu.30000120344845,"Phonics and reading,","Van Liew, C. C. (Charles Cecil), b. 1862",1900,HathiTrust,['Linguistic'],11823490,5505672,,"Van Liew, C. C.","Bloomington, Ill.;Public-School Pub. Co.;1900.",s,1900,    ,1900,ilu,,Phonetics;Phonetic method;Reading,Phonics and reading
inu.30000127827305,inu.30000127827305,schofieldenglish,English literature : from the Norman conquest to Chaucer,"Schofield, William Henry, 1870-1920",1921,HathiTrust,['Literary'],11821018,4729147,,"Schofield, William Henry,",London;Macmillan;1921.,s,1921,    ,1921,enk,,"English literature;Comparative literature;History and criticism;Middle English, 1100-1500",English literature : from the Norman conquest to Chaucer
