htid,filename,size_changed,modification_time,rsync_flags
hvd.32044025676206,32044025676206.mets.xml,True,True,>f.st......
hvd.32044025676206,32044025676206.zip,True,True,>f.st......
hvd.32044031554363,32044031554363.mets.xml,True,True,>f.st......
hvd.32044031554363,32044031554363.zip,True,True,>f.st......
hvd.32044031571342,32044031571342.mets.xml,True,True,>f.st......
hvd.32044031571342,32044031571342.zip,True,True,>f.st......
hvd.32044038399135,32044038399135.mets.xml,True,True,>f.st......
hvd.32044038399135,32044038399135.zip,True,True,>f.st......
hvd.32044038403333,32044038403333.mets.xml,True,True,>f.st......
hvd.32044038403333,32044038403333.zip,True,True,>f.st......
hvd.32044038403978,32044038403978.mets.xml,True,True,>f.st......
hvd.32044038403978,32044038403978.zip,True,True,>f.st......
hvd.32044038404182,32044038404182.mets.xml,True,True,>f.st......
hvd.32044038404182,32044038404182.zip,True,True,>f.st......
hvd.32044038404380,32044038404380.mets.xml,True,True,>f.st......
hvd.32044038404380,32044038404380.zip,True,True,>f.st......
hvd.32044038405338,32044038405338.mets.xml,True,True,>f.st......
hvd.32044038405338,32044038405338.zip,True,True,>f.st......
hvd.32044038405353,32044038405353.mets.xml,True,True,>f.st......
hvd.32044038405353,32044038405353.zip,True,True,>f.st......
hvd.32044038405411,32044038405411.mets.xml,True,True,>f.st......
hvd.32044038405411,32044038405411.zip,True,True,>f.st......
hvd.32044038405734,32044038405734.mets.xml,True,True,>f.st......
hvd.32044038405734,32044038405734.zip,True,True,>f.st......
hvd.32044038405932,32044038405932.mets.xml,True,True,>f.st......
hvd.32044038405932,32044038405932.zip,True,True,>f.st......
hvd.32044038422135,32044038422135.mets.xml,True,True,>f.st......
hvd.32044038422135,32044038422135.zip,True,True,>f.st......
hvd.32044041173964,32044041173964.mets.xml,True,True,>f.st......
hvd.32044041173964,32044041173964.zip,True,True,>f.st......
hvd.32044044144228,32044044144228.mets.xml,True,True,>f.st......
hvd.32044044144228,32044044144228.zip,True,True,>f.st......
hvd.32044048962955,32044048962955.mets.xml,True,True,>f.st......
hvd.32044048962955,32044048962955.zip,True,True,>f.st......
hvd.32044050827351,32044050827351.mets.xml,True,True,>f.st......
hvd.32044050827351,32044050827351.zip,True,True,>f.st......
hvd.32044050831999,32044050831999.mets.xml,True,True,>f.st......
hvd.32044050831999,32044050831999.zip,True,True,>f.st......
hvd.32044050957653,32044050957653.mets.xml,True,True,>f.st......
hvd.32044050957653,32044050957653.zip,True,True,>f.st......
hvd.32044051107514,32044051107514.mets.xml,True,True,>f.st......
hvd.32044051107514,32044051107514.zip,True,True,>f.st......
hvd.32044054765409,32044054765409.mets.xml,True,True,>f.st......
hvd.32044054765409,32044054765409.zip,True,True,>f.st......
hvd.32044054765623,32044054765623.mets.xml,True,True,>f.st......
hvd.32044054765623,32044054765623.zip,True,True,>f.st......
hvd.32044055313134,32044055313134.mets.xml,True,True,>f.st......
hvd.32044055313134,32044055313134.zip,True,True,>f.st......
hvd.32044058162066,32044058162066.mets.xml,True,True,>f.st......
hvd.32044058162066,32044058162066.zip,True,True,>f.st......
hvd.32044058190059,32044058190059.mets.xml,True,True,>f.st......
hvd.32044058190059,32044058190059.zip,True,True,>f.st......
hvd.32044058232182,32044058232182.mets.xml,True,True,>f.st......
hvd.32044058232182,32044058232182.zip,True,True,>f.st......
hvd.32044074313453,32044074313453.mets.xml,True,True,>f.st......
hvd.32044074313453,32044074313453.zip,True,True,>f.st......
hvd.32044074355850,32044074355850.mets.xml,True,True,>f.st......
hvd.32044074355850,32044074355850.zip,True,True,>f.st......
hvd.32044077947968,32044077947968.mets.xml,True,True,>f.st......
hvd.32044077947968,32044077947968.zip,True,True,>f.st......
hvd.32044079398129,32044079398129.mets.xml,True,True,>f.st......
hvd.32044079398129,32044079398129.zip,True,True,>f.st......
hvd.32044079732996,32044079732996.mets.xml,True,True,>f.st......
hvd.32044079732996,32044079732996.zip,True,True,>f.st......
hvd.32044080200538,32044080200538.mets.xml,True,True,>f.st......
hvd.32044080200538,32044080200538.zip,True,True,>f.st......
hvd.32044081364275,32044081364275.mets.xml,True,True,>f.st......
hvd.32044081364275,32044081364275.zip,True,True,>f.st......
hvd.32044081367153,32044081367153.mets.xml,True,True,>f.st......
hvd.32044081367153,32044081367153.zip,True,True,>f.st......
hvd.32044081368235,32044081368235.mets.xml,True,True,>f.st......
hvd.32044081368235,32044081368235.zip,True,True,>f.st......
hvd.32044085136372,32044085136372.mets.xml,True,True,>f.st......
hvd.32044085136372,32044085136372.zip,True,True,>f.st......
hvd.32044086520335,32044086520335.mets.xml,True,True,>f.st......
hvd.32044086520335,32044086520335.zip,True,True,>f.st......
hvd.32044086577400,32044086577400.mets.xml,True,True,>f.st......
hvd.32044086577400,32044086577400.zip,True,True,>f.st......
hvd.32044086599172,32044086599172.mets.xml,True,True,>f.st......
hvd.32044086599172,32044086599172.zip,True,True,>f.st......
hvd.32044086660370,32044086660370.mets.xml,True,True,>f.st......
hvd.32044086660370,32044086660370.zip,True,True,>f.st......
hvd.32044086660677,32044086660677.mets.xml,True,True,>f.st......
hvd.32044086660677,32044086660677.zip,True,True,>f.st......
hvd.32044086660685,32044086660685.mets.xml,True,True,>f.st......
hvd.32044086660685,32044086660685.zip,True,True,>f.st......
hvd.32044086668423,32044086668423.mets.xml,True,True,>f.st......
hvd.32044086668423,32044086668423.zip,True,True,>f.st......
hvd.32044086668746,32044086668746.mets.xml,True,True,>f.st......
hvd.32044086668746,32044086668746.zip,True,True,>f.st......
hvd.32044086679164,32044086679164.mets.xml,True,True,>f.st......
hvd.32044086679164,32044086679164.zip,True,True,>f.st......
hvd.32044086682150,32044086682150.mets.xml,True,True,>f.st......
hvd.32044086682150,32044086682150.zip,True,True,>f.st......
hvd.32044086703071,32044086703071.mets.xml,True,True,>f.st......
hvd.32044086703071,32044086703071.zip,True,True,>f.st......
hvd.32044086713096,32044086713096.mets.xml,True,True,>f.st......
hvd.32044086713096,32044086713096.zip,True,True,>f.st......
hvd.32044086714151,32044086714151.mets.xml,True,True,>f.st......
hvd.32044086714151,32044086714151.zip,True,True,>f.st......
hvd.32044086720679,32044086720679.mets.xml,True,True,>f.st......
hvd.32044086720679,32044086720679.zip,True,True,>f.st......
hvd.32044086720828,32044086720828.mets.xml,True,True,>f.st......
hvd.32044086720828,32044086720828.zip,True,True,>f.st......
hvd.32044086722162,32044086722162.mets.xml,True,True,>f.st......
hvd.32044086722162,32044086722162.zip,True,True,>f.st......
hvd.32044086727310,32044086727310.mets.xml,True,True,>f.st......
hvd.32044086727310,32044086727310.zip,True,True,>f.st......
hvd.32044086734555,32044086734555.mets.xml,True,True,>f.st......
hvd.32044086734555,32044086734555.zip,True,True,>f.st......
hvd.32044086759800,32044086759800.mets.xml,True,True,>f.st......
hvd.32044086759800,32044086759800.zip,True,True,>f.st......
hvd.32044086777489,32044086777489.mets.xml,True,True,>f.st......
hvd.32044086777489,32044086777489.zip,True,True,>f.st......
hvd.32044086791217,32044086791217.mets.xml,True,True,>f.st......
hvd.32044086791217,32044086791217.zip,True,True,>f.st......
hvd.32044086802469,32044086802469.mets.xml,True,True,>f.st......
hvd.32044086802469,32044086802469.zip,True,True,>f.st......
hvd.32044086837689,32044086837689.mets.xml,True,True,>f.st......
hvd.32044086837689,32044086837689.zip,True,True,>f.st......
hvd.32044086857885,32044086857885.mets.xml,True,True,>f.st......
hvd.32044086857885,32044086857885.zip,True,True,>f.st......
hvd.32044086912813,32044086912813.mets.xml,True,True,>f.st......
hvd.32044086912813,32044086912813.zip,True,True,>f.st......
hvd.32044088287073,32044088287073.mets.xml,True,True,>f.st......
hvd.32044088287073,32044088287073.zip,True,True,>f.st......
hvd.32044088287545,32044088287545.mets.xml,True,True,>f.st......
hvd.32044088287545,32044088287545.zip,True,True,>f.st......
hvd.32044088288469,32044088288469.mets.xml,True,True,>f.st......
hvd.32044088288469,32044088288469.zip,True,True,>f.st......
hvd.32044088290994,32044088290994.mets.xml,True,True,>f.st......
hvd.32044088290994,32044088290994.zip,True,True,>f.st......
hvd.32044089057764,32044089057764.mets.xml,True,True,>f.st......
