date,num_updated,ppa_updated,pct_updated,pct_ppa_updated
2025-05-01,459707,39,0.024296598549139372,0.007269338303821062
2025-05-02,377472,65,0.01995028495876882,0.012115563839701771
2025-05-03,423831,116,0.022400467383964763,0.021621621621621623
2025-05-04,265070,135,0.014009574310202746,0.025163094128611372
2025-05-05,420486,111,0.022223676249292307,0.020689655172413793
2025-05-06,457121,52,0.02415992235354506,0.009692451071761417
2025-05-07,118717,10,0.006274473283979097,0.001863932898415657
2025-05-08,403917,23,0.021347965543645687,0.004287045666356011
2025-05-10,675112,88,0.03568126054140263,0.01640260950605778
2025-05-11,440304,51,0.023271104263324818,0.009506057781919852
2025-05-12,289095,7,0.015279352190772486,0.00130475302889096
2025-05-13,316016,28,0.016702190497653566,0.00521901211556384
2025-05-14,575,0,0.000030390105362231027,0.0
2025-05-15,846329,27,0.0447304825758463,0.005032618825722274
2025-05-16,277052,1,0.014642851253594488,0.0001863932898415657
2025-05-17,48732,0,0.0025756010687169434,0.0
2025-05-18,48021,17,0.0025380230427820803,0.003168685927306617
2025-05-19,22824,0,0.0012063021996305409,0.0
2025-05-20,6751,0,0.0003568062631311681,0.0
2025-05-21,5356,0,0.00028307722490453804,0.0
2025-05-22,332550,120,0.017576051370799876,0.022367194780987885
2025-05-23,499195,125,0.026383632428345946,0.023299161230195712
2025-05-24,91672,7,0.004845081284811205,0.00130475302889096
2025-05-25,14506,0,0.0007666762928426492,0.0
2025-05-26,7544,0,0.00039871818235247107,0.0
2025-05-27,3881,2,0.0002051199981057715,0.0003727865796831314
2025-05-28,929,0,0.000049099839793935,0.0
2025-05-29,8020,0,0.0004238759043566832,0.0
2025-05-30,687959,34,0.0363602547737306,0.006337371854613234
2025-05-31,410943,27,0.021719306204993575,0.005032618825722274
2025-06-01,615189,43,0.032514188743800944,0.008014911463187325
2025-06-02,419028,124,0.02214661751256512,0.023112767940354148
2025-06-03,465977,66,0.02462798282848057,0.012301957129543337
2025-06-04,358816,16,0.018964271383746588,0.0029822926374650513
2025-06-05,359528,39,0.019001902262038604,0.007269338303821062
2025-06-06,342298,72,0.018091256148314708,0.01342031686859273
2025-06-07,449139,61,0.023738054838760143,0.011369990680335508
2025-06-08,513151,100,0.027121239924755156,0.018639328984156572
2025-06-09,312105,45,0.016495484928833244,0.008387698042870456
2025-06-10,378394,49,0.019999014832062692,0.00913327120223672
2025-06-11,582708,139,0.03079749133115638,0.025908667287977635
2025-06-12,515628,58,0.02725215521341993,0.010810810810810811
2025-06-13,495513,41,0.02618903004931336,0.007642124883504194
2025-06-14,437156,9,0.023104725043011247,0.0016775396085740913
2025-06-15,487611,22,0.02577139072310058,0.004100652376514445
2025-06-16,446809,19,0.023614908846596668,0.0035414725069897483
2025-06-17,542288,71,0.028661199055084418,0.013233923578751165
2025-06-18,559878,53,0.02959087201738293,0.009878844361602983
2025-06-19,408969,90,0.021614975651976107,0.016775396085740912
2025-06-20,280371,39,0.014818268226981,0.007269338303821062
2025-06-21,381278,90,0.020151441030088212,0.016775396085740912
2025-06-22,505103,103,0.026695884154398223,0.019198508853681268
2025-06-23,417529,26,0.02206739182919471,0.004846225535880709
2025-06-24,647451,42,0.03421931149022929,0.00782851817334576
2025-06-25,470756,22,0.024880564243308572,0.004100652376514445
2025-06-26,449417,76,0.023752747794048318,0.014165890027958993
2025-06-27,405193,48,0.021415405151371265,0.008946877912395155
2025-06-28,497475,47,0.02629272637404501,0.008760484622553587
2025-06-29,161896,28,0.008556585213432617,0.00521901211556384
2025-06-30,40566,4,0.002144008720216111,0.0007455731593662628
2025-07-01,17230,0,0.0009106461137238967,0.0
2025-07-02,285218,22,0.015074443602095321,0.004100652376514445
2025-07-03,353668,34,0.018692187449129604,0.006337371854613234
2025-07-04,368403,20,0.019470966931759995,0.003727865796831314
2025-07-05,413547,19,0.02185693374301662,0.0035414725069897483
2025-07-06,461452,103,0.0243888259123691,0.019198508853681268
2025-07-07,407286,32,0.021526025134889784,0.005964585274930103
2025-07-08,335421,59,0.017727790488182425,0.010997204100652377
2025-07-09,392793,21,0.020760035922690108,0.00391425908667288
2025-07-10,445583,30,0.023550111856728676,0.005591798695246971
