filename,htid,event_type,date,detail
39015060425942.mets.xml,mdp.39015060425942,validation,2019-11-29T22:44:19Z,Validation of technical characteristics of image and OCR files
39015060425942.mets.xml,mdp.39015060425942,zip archive creation,2019-11-29T22:44:28Z,Compression of content files and source METS into zip archive
39015060425942.mets.xml,mdp.39015060425942,zip file message digest calculation,2019-11-29T22:44:33Z,Calculation of md5 checksum for zip archive
39015060425942.mets.xml,mdp.39015060425942,ingestion,2019-11-29T22:44:34Z,Ingestion of object package into repository
39015060425942.mets.xml,mdp.39015060425942,image compression,2022-10-30T01:17:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
39015060425942.mets.xml,mdp.39015060425942,message digest calculation,2022-10-30T01:17:00Z,Calculation of MD5 checksums for image and OCR files
39015060425942.mets.xml,mdp.39015060425942,source mets creation,2022-10-30T01:17:00Z,Creation of source METS file
39015060425942.mets.xml,mdp.39015060425942,decryption,2022-10-30T02:46:41Z,Decryption of Google archive
39015060425942.mets.xml,mdp.39015060425942,fixity check,2022-10-30T02:46:46Z,Validation of MD5 checksums for image and OCR files
39015060425942.mets.xml,mdp.39015060425942,validation,2022-10-30T02:46:59Z,Validation of technical characteristics of image and OCR files
39015060425942.mets.xml,mdp.39015060425942,zip archive creation,2022-10-30T02:47:08Z,Compression of content files and source METS into zip archive
39015060425942.mets.xml,mdp.39015060425942,zip file message digest calculation,2022-10-30T02:47:15Z,Calculation of md5 checksum for zip archive
39015060425942.mets.xml,mdp.39015060425942,premis migration,2022-10-30T02:47:18Z,Migration of PREMIS metadata to new version
39015060425942.mets.xml,mdp.39015060425942,ingestion,2022-10-30T02:47:18Z,Ingestion of object package into repository
39015060425942.mets.xml,mdp.39015060425942,source mets creation,2024-09-10T09:58:00Z,Creation of source METS file
39015060425942.mets.xml,mdp.39015060425942,image compression,2024-09-10T09:58:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
39015060425942.mets.xml,mdp.39015060425942,message digest calculation,2024-09-10T09:58:00Z,Calculation of MD5 checksums for image and OCR files
39015060425942.mets.xml,mdp.39015060425942,decryption,2024-09-10T22:55:09Z,Decryption of Google archive
39015060425942.mets.xml,mdp.39015060425942,fixity check,2024-09-10T22:55:15Z,Validation of MD5 checksums for image and OCR files
39015060425942.mets.xml,mdp.39015060425942,validation,2024-09-10T22:55:28Z,Validation of technical characteristics of image and OCR files
39015060425942.mets.xml,mdp.39015060425942,zip archive creation,2024-09-10T22:55:39Z,Compression of content files and source METS into zip archive
39015060425942.mets.xml,mdp.39015060425942,zip file message digest calculation,2024-09-10T22:55:46Z,Calculation of md5 checksum for zip archive
39015060425942.mets.xml,mdp.39015060425942,premis migration,2024-09-10T22:55:49Z,Migration of PREMIS metadata to new version
39015060425942.mets.xml,mdp.39015060425942,ingestion,2024-09-10T22:55:49Z,Ingestion of object package into repository
